,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Итого бобров,Recency,Frequency,Monetary
414,SU72881,Финансовый департамент,расчетно-аналитическая группа по вопросам экономики и финансов бизнеса,,Старший экономист,нет,"10 г., 3 мес.,4 дн.",Женский,32,200,,1.0,0.0
415,SU710,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Сервис-менеджер,нет,"17 г., 6 мес.,14 дн.",Мужской,39,1475,-49.0,7.0,6450.0
416,SU713,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Ведущий инженер,нет,"20 г., 1 мес.,17 дн.",Мужской,41,2515,-53.0,47.0,1400.0
417,SU196291,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"1 г., 8 мес.,11 дн.",Мужской,23,1380,162.0,10.0,2730.0
418,SU198414,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Директор по отраслевым решениям,нет,"0 г., 6 мес.,24 дн.",Мужской,40,760,-54.0,15.0,0.0
419,SU81238,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,"Старший менеджер по продвижению решений, Тимлид",ТЛ,"9 г., 3 мес.,15 дн.",Мужской,30,2290,-54.0,22.0,0.0
420,SU197674,Склад,,,Кладовщик,нет,"1 г., 0 мес.,15 дн.",Мужской,48,200,6.0,1.0,0.0
421,SU721,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Менеджер проектов,нет,"24 г., 3 мес.,21 дн.",Мужской,48,350,-21.0,4.0,3500.0
422,SU199560,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Стажер,нет,"0 г., 2 мес.,18 дн.",Мужской,20,1520,-53.0,42.0,1420.0
423,SU85361,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Старший инженер,нет,"8 г., 8 мес.,24 дн.",Женский,32,1350,36.0,15.0,1590.0
424,SU199137,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Стажер,нет,"0 г., 4 мес.,15 дн.",Женский,23,690,-21.0,9.0,0.0
425,SU3259,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Эксперт,нет,"16 г., 11 мес.,6 дн.",Женский,40,205,42.0,5.0,4010.0
426,SU126237,Правовой департамент,группа комплексного сопровождения проектов,,Юрист,нет,"5 г., 1 мес.,23 дн.",Женский,28,200,250.0,1.0,18805.0
427,SU3272,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Ведущий инженер-разработчик,нет,"18 г., 9 мес.,2 дн.",Женский,43,1050,7.0,18.0,7410.0
428,SU197677,Отдел дизайна,,,Младший дизайнер,нет,"1 г., 0 мес.,19 дн.",Женский,23,1435,37.0,14.0,1020.0
429,SU166205,Отдел закупок,,,Старший администратор,нет,"3 г., 3 мес.,13 дн.",Женский,27,1905,-54.0,83.0,2900.0
430,SU1240,Департамент разработки программного обеспечения,,группа развития бизнеса,Финансовый аналитик,нет,"16 г., 1 мес.,10 дн.",Женский,39,540,44.0,19.0,6810.0
431,SU199524,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Стажер,нет,"0 г., 2 мес.,25 дн.",Мужской,23,685,-53.0,19.0,0.0
432,SU153581,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Старший инженер-тестировщик,нет,"3 г., 11 мес.,28 дн.",Женский,24,1770,-49.0,15.0,3985.0
433,SU61953,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Младший технический менеджер,нет,"11 г., 10 мес.,15 дн.",Женский,36,405,-48.0,36.0,1300.0
434,SU84150,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа аналитиков,Старший системный аналитик,нет,"8 г., 11 мес.,2 дн.",Женский,41,1465,-53.0,25.0,4630.0
435,SU726,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Ведущий системный инженер,нет,"15 г., 0 мес.,16 дн.",Мужской,43,1810,106.0,8.0,13500.0
436,SU178959,Департамент бизнес-приложений,,группа консультантов по хранилищам данных и ETL,Младший консультант по внедрению бизнес-приложений,нет,"2 г., 10 мес.,19 дн.",Мужской,23,1280,-48.0,16.0,4300.0
437,SU728,Департамент инженерных и мультимедийных систем,,,Главный инженер,нет,"22 г., 6 мес.,26 дн.",Мужской,51,750,-48.0,2.0,3000.0
438,SU197074,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Инженер,нет,"1 г., 2 мес.,24 дн.",Мужской,22,2150,-48.0,38.0,710.0
439,SU198734,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,нет,"0 г., 6 мес.,3 дн.",Мужской,39,900,7.0,9.0,0.0
440,SU2683,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"23 г., 2 мес.,24 дн.",Мужской,61,200,251.0,1.0,0.0
441,SU178978,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Сервис-менеджер,нет,"2 г., 10 мес.,24 дн.",Мужской,27,1005,-46.0,16.0,5825.0
442,SU729,Департамент внутренней автоматизации,,группа системных администраторов,Ведущий инженер,нет,"20 г., 0 мес.,28 дн.",Мужской,43,1250,105.0,7.0,1500.0
443,SU199750,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Младший инженер,нет,"0 г., 1 мес.,16 дн.",Женский,25,200,37.0,1.0,0.0
444,SU199086,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Младший пресейл-инженер,нет,"0 г., 4 мес.,22 дн.",Мужской,19,465,-21.0,7.0,427.0
445,SU171802,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа ИТ-инфраструктуры",Старший системный инженер,нет,"3 г., 1 мес.,24 дн.",Мужской,43,0,,0.0,0.0
446,SU41117,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"14 г., 1 мес.,5 дн.",Мужской,42,225,44.0,6.0,1300.0
447,SU199612,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Стажер,нет,"0 г., 2 мес.,6 дн.",Мужской,22,200,,1.0,0.0
448,SU196859,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Инженер технической поддержки,нет,"1 г., 3 мес.,22 дн.",Мужской,32,2140,-48.0,40.0,2000.0
449,SU166202,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Специалист по продвижению решений,нет,"3 г., 3 мес.,13 дн.",Мужской,27,2015,-54.0,8.0,7745.0
450,SU176638,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Ведущий системный инженер,нет,"2 г., 10 мес.,26 дн.",Мужской,30,1810,67.0,18.0,9740.0
451,SU160697,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Младший системный аналитик,нет,"3 г., 6 мес.,1 дн.",Женский,33,1375,-48.0,10.0,3400.0
452,SU54736,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,нет,"8 г., 4 мес.,5 дн.",Мужской,44,1300,-21.0,13.0,6600.0
453,SU3493,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Руководитель практики Технического консалтинга,нет,"18 г., 8 мес.,3 дн.",Мужской,40,2300,165.0,7.0,12930.0
454,SU199284,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Стажер,нет,"0 г., 3 мес.,22 дн.",Мужской,21,1120,-55.0,41.0,0.0
455,SU1439,Департамент по работе с персоналом,отдел рекрутинга,,Ведущий HR-менеджер,нет,"8 г., 5 мес.,10 дн.",Женский,61,200,67.0,1.0,5590.0
456,SU199073,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,нет,"0 г., 4 мес.,22 дн.",Женский,24,1230,-54.0,44.0,827.0
457,SU105800,Департамент маркетинга,контакт-центр,,Ведущий оператор,нет,"6 г., 0 мес.,16 дн.",Женский,26,1150,6.0,3.0,7625.0
458,SU141593,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Инженер-тестировщик,нет,"4 г., 7 мес.,9 дн.",Женский,25,3250,-48.0,44.0,2730.0
459,SU190552,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"2 г., 1 мес.,24 дн.",Женский,22,870,160.0,19.0,1530.0
460,SU49960,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Старший администратор проектов,нет,"12 г., 7 мес.,20 дн.",Женский,36,800,-21.0,3.0,1410.0
461,SU153282,Правовой департамент,группа комплексного сопровождения проектов,,Юрист,нет,"4 г., 0 мес.,5 дн.",Женский,26,5695,-53.0,334.0,21660.0
462,SU120950,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Младший инженер,нет,"5 г., 2 мес.,26 дн.",Мужской,25,1165,-21.0,20.0,1700.0
463,SU199574,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Стажер,нет,"0 г., 1 мес.,29 дн.",Женский,20,250,,2.0,0.0
464,SU43871,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,уборщицы,Уборщица,нет,"6 г., 10 мес.,4 дн.",Женский,50,200,,1.0,200.0
465,SU733,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,"Ведущий бухгалтер, Тимлид",ТЛ,"18 г., 9 мес.,15 дн.",Женский,43,300,15.0,2.0,0.0
466,SU198869,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Стажер,нет,"0 г., 5 мес.,12 дн.",Женский,21,1715,-21.0,21.0,0.0
467,SU51362,Административно-эксплуатационный департамент,Административный отдел,курьеры,Курьер,нет,"12 г., 6 мес.,15 дн.",Мужской,33,200,12.0,1.0,0.0
468,SU164707,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"3 г., 3 мес.,24 дн.",Мужской,35,655,38.0,18.0,2490.0
469,SU197151,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продуктовых интеграций,Ведущий системный инженер,нет,"1 г., 2 мес.,8 дн.",Мужской,36,1120,-48.0,19.0,0.0
470,SU117509,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Инженер,нет,"5 г., 6 мес.,9 дн.",Мужской,28,350,-48.0,4.0,7150.0
471,SU199121,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Инженер технической поддержки,нет,"0 г., 4 мес.,15 дн.",Мужской,33,450,70.0,3.0,0.0
472,SU135098,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Инженер-тестировщик,нет,"4 г., 11 мес.,6 дн.",Мужской,27,890,-47.0,21.0,4105.0
473,SU741,Химкинское обособленное подразделение,,,Ведущий кладовщик,нет,"24 г., 6 мес.,24 дн.",Мужской,44,1650,286.0,5.0,1500.0
474,SU199986,Департамент внутренней автоматизации,,группа разработки HR-tech решений,Стажер,нет,"0 г., 0 мес.,8 дн.",Мужской,21,0,,0.0,0.0
475,SU58555,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Старший технический менеджер,нет,"12 г., 1 мес.,8 дн.",Мужской,42,3555,103.0,16.0,9900.0
476,SU118129,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Старший инженер-разработчик,нет,"4 г., 10 мес.,10 дн.",Мужской,26,1800,-48.0,13.0,11100.0
477,SU545,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"16 г., 10 мес.,15 дн.",Мужской,41,2470,-48.0,25.0,3550.0
478,SU196367,Департамент по работе с персоналом,отдел рекрутинга,,Младший HR-менеджер,нет,"1 г., 7 мес.,22 дн.",Женский,21,490,163.0,4.0,2870.0
479,SU180612,Департамент по работе с персоналом,,Образовательные проекты brainz для студентов и школьников,Старший менеджер по образовательным проектам,нет,"2 г., 9 мес.,6 дн.",Женский,22,2355,-54.0,7.0,5250.0
480,SU196957,Департамент телекоммуникаций,Сервис,группа развития,Менеджер по работе с партнерами,нет,"1 г., 3 мес.,22 дн.",Женский,49,250,223.0,2.0,400.0
481,SU142296,Департамент по работе с персоналом,,Корпоративная культура,"Ведущий менеджер по развитию корпоративной культуры, Тимлид по развитию корпоративной культуры",нет,"4 г., 6 мес.,22 дн.",Женский,25,1855,221.0,5.0,9050.0
482,SU183592,Департамент разработки программного обеспечения,Государственные информационные системы,,Специалист по продвижению решений,нет,"2 г., 8 мес.,24 дн.",Женский,22,850,130.0,7.0,2780.0
483,SU547,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Эксперт,нет,"16 г., 2 мес.,7 дн.",Мужской,36,7315,-48.0,91.0,21210.0
484,SU198061,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Технический менеджер,нет,"0 г., 8 мес.,26 дн.",Мужской,40,2520,-54.0,57.0,4150.0
485,SU2735,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"19 г., 8 мес.,28 дн.",Мужской,42,900,102.0,4.0,9400.0
486,SU197632,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,нет,"1 г., 0 мес.,16 дн.",Мужской,22,2000,-48.0,37.0,0.0
487,SU47554,Департамент телекоммуникаций,,группа сетевых решений,Системный инженер,нет,"12 г., 11 мес.,1 дн.",Мужской,40,200,-21.0,4.0,0.0
488,SU43955,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"13 г., 6 мес.,20 дн.",Мужской,34,200,165.0,1.0,4800.0
489,SU199160,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Старший инженер,нет,"0 г., 3 мес.,27 дн.",Мужской,44,475,70.0,4.0,0.0
490,SU199828,Департамент продаж и менеджмента проектов,,группа управления проектами по техническому консалтингу,Менеджер проектов,нет,"0 г., 1 мес.,2 дн.",Женский,35,450,220.0,3.0,0.0
491,SU195923,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"1 г., 9 мес.,9 дн.",Женский,21,955,69.0,5.0,800.0
492,SU199378,Департамент по работе с персоналом,отдел рекрутинга,,Стажер,нет,"0 г., 3 мес.,3 дн.",Женский,20,450,,3.0,0.0
493,SU197584,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Младший консультант по внедрению,нет,"1 г., 0 мес.,30 дн.",Женский,21,850,-21.0,16.0,0.0
494,SU143963,Департамент по работе с персоналом,,Образовательные проекты brainz для студентов и школьников,"Ведущий менеджер по образовательным проектам, Тимлид",РМ,"4 г., 0 мес.,19 дн.",Женский,25,3400,67.0,8.0,4600.0
495,SU198629,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 6 мес.,23 дн.",Женский,18,955,-54.0,129.0,650.0
496,SU87303,Департамент внутренней автоматизации,,группа управления проектами,Менеджер проектов,РМ,"8 г., 4 мес.,10 дн.",Женский,31,1555,-48.0,20.0,12525.0
497,SU105905,Администрация,,,Директор по маркетингу,РМ,"6 г., 0 мес.,15 дн.",Женский,43,200,6.0,1.0,0.0
498,SU197995,Департамент по работе с персоналом,,Корпоративная культура,Менеджер по развитию корпоративной культуры,нет,"0 г., 10 мес.,10 дн.",Женский,28,80,161.0,7.0,150.0
499,SU50581,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Администратор,нет,"12 г., 7 мес.,2 дн.",Женский,34,1450,-21.0,26.0,1750.0
500,SU199145,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Стажер,нет,"0 г., 4 мес.,14 дн.",Мужской,20,1665,-53.0,72.0,0.0
501,SU167742,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер,нет,"3 г., 2 мес.,27 дн.",Женский,25,4385,-55.0,96.0,5200.0
502,SU152610,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"2 г., 1 мес.,20 дн.",Мужской,37,2365,-53.0,80.0,2215.0
503,SU94470,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"7 г., 0 мес.,2 дн.",Мужской,35,2960,-54.0,108.0,15260.0
504,SU157254,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Инженер,нет,"3 г., 9 мес.,7 дн.",Мужской,26,625,42.0,12.0,6000.0
505,SU41718,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Старший менеджер проектов,нет,"13 г., 11 мес.,23 дн.",Женский,33,150,-21.0,3.0,750.0
506,SU825,Департамент разработки программного обеспечения,Государственные информационные системы,,"Руководитель направления ""Государственные информационные системы""",РМ,"21 г., 8 мес.,20 дн.",Мужской,44,1300,167.0,3.0,8400.0
507,SU41485,Департамент инженерных и мультимедийных систем,группа сервиса,,Ведущий инженер,нет,"14 г., 0 мес.,11 дн.",Мужской,39,3330,-48.0,53.0,10750.0
508,SU550,Департамент разработки программного обеспечения,"Практика ""Роботехника""",,Технический менеджер,нет,"22 г., 7 мес.,8 дн.",Мужской,44,200,-16.0,1.0,0.0
509,SU193122,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,8 дн.",Женский,21,2150,-48.0,12.0,800.0
510,SU199951,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Стажер,нет,"0 г., 0 мес.,11 дн.",Женский,20,200,,1.0,0.0
511,SU199197,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Старший менеджер проектов,нет,"0 г., 3 мес.,17 дн.",Женский,35,1465,-25.0,56.0,125.0
512,SU101878,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,нет,"6 г., 4 мес.,11 дн.",Женский,27,3655,-54.0,22.0,4420.0
513,SU196558,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,Специалист по продвижению решений,нет,"1 г., 6 мес.,13 дн.",Мужской,22,1700,-49.0,4.0,2010.0
514,SU196619,Департамент бизнес-приложений,,группа консультантов по производству,Старший консультант по внедрению бизнес-приложений,нет,"1 г., 5 мес.,23 дн.",Мужской,36,850,-21.0,14.0,0.0
515,SU91054,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 8 мес.,5 дн.",Мужской,39,1650,-21.0,17.0,550.0
516,SU156566,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Системный аналитик,нет,"3 г., 9 мес.,14 дн.",Женский,29,0,,0.0,0.0
517,SU196883,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Эксперт,нет,"1 г., 4 мес.,5 дн.",Мужской,47,3400,-48.0,51.0,6250.0
518,SU66928,Департамент разработки программного обеспечения,"Практика ""Роботехника""",,Менеджер проектов,нет,"11 г., 3 мес.,21 дн.",Женский,37,200,192.0,1.0,0.0
519,SU844,Отдел закупок,,,Ведущий менеджер,нет,"20 г., 7 мес.,10 дн.",Мужской,46,750,,2.0,3150.0
520,SU188914,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"2 г., 3 мес.,7 дн.",Мужской,24,1725,-21.0,31.0,0.0
521,SU198820,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,нет,"0 г., 6 мес.,3 дн.",Мужской,21,1750,-21.0,26.0,0.0
522,SU2992,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа тестировщиков,Старший инженер-тестировщик,нет,"17 г., 0 мес.,24 дн.",Женский,41,500,-21.0,7.0,650.0
523,SU154546,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Старший инженер-разработчик,нет,"3 г., 11 мес.,6 дн.",Женский,26,2565,-52.0,34.0,3000.0
524,SU856,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Старший менеджер проектов,нет,"17 г., 3 мес.,16 дн.",Мужской,41,1920,-49.0,7.0,3000.0
525,SU40845,Департамент инженерных и мультимедийных систем,группа сервиса,,Старший инженер,нет,"14 г., 1 мес.,25 дн.",Мужской,37,2405,-19.0,43.0,6350.0
526,SU160949,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Менеджер проектов,нет,"3 г., 6 мес.,13 дн.",Мужской,36,1155,-49.0,23.0,4980.0
527,SU155261,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Старший администратор проектов,нет,"3 г., 10 мес.,18 дн.",Женский,30,700,7.0,4.0,1840.0
528,SU35128,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"15 г., 0 мес.,11 дн.",Женский,38,1715,-48.0,10.0,14550.0
529,SU191100,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,"Технический менеджер сервисных проектов, Тимлид",ТЛ,"2 г., 1 мес.,6 дн.",Мужской,44,3590,-49.0,35.0,3000.0
530,SU41337,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа тестировщиков,Ведущий инженер по автоматизации тестирования,нет,"14 г., 0 мес.,21 дн.",Мужской,48,2100,-48.0,29.0,9760.0
531,SU105218,Департамент по работе с персоналом,отдел рекрутинга,,"Ведущий HR-менеджер, Тимлид",ТЛ,"6 г., 0 мес.,29 дн.",Женский,26,3500,-53.0,19.0,7765.0
532,SU152277,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Инженер,нет,"4 г., 0 мес.,27 дн.",Мужской,27,520,7.0,8.0,0.0
533,SU51874,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"12 г., 5 мес.,30 дн.",Женский,36,685,12.0,14.0,6100.0
534,SU64421,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Технический менеджер,РМ,"11 г., 7 мес.,5 дн.",Мужской,33,2305,7.0,13.0,3050.0
535,SU198472,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"0 г., 7 мес.,7 дн.",Мужской,35,1160,7.0,21.0,0.0
536,SU878,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Старший менеджер проектов,нет,"17 г., 6 мес.,23 дн.",Мужской,38,800,-49.0,8.0,44050.0
537,SU196918,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший системный инженер,нет,"1 г., 3 мес.,20 дн.",Мужской,35,930,-48.0,16.0,2220.0
538,SU199763,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 1 мес.,15 дн.",Женский,21,415,-54.0,26.0,0.0
539,SU198264,Департамент маркетинга,контакт-центр,,Телемаркетолог,нет,"0 г., 8 мес.,13 дн.",Женский,23,1060,223.0,12.0,0.0
540,SU199102,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,,Специалист по работе с партнерами,нет,"0 г., 3 мес.,23 дн.",Женский,25,965,7.0,22.0,285.0
541,SU102439,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Технический менеджер,нет,"6 г., 3 мес.,9 дн.",Мужской,34,3620,-21.0,30.0,8850.0
542,SU49779,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Ведущий сервис-менеджер,нет,"12 г., 7 мес.,20 дн.",Мужской,34,3400,-49.0,49.0,9780.0
543,SU197253,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Менеджер по продвижению решений,нет,"1 г., 1 мес.,21 дн.",Мужской,46,550,190.0,8.0,770.0
544,SU196988,Департамент маркетинга,группа внешних коммуникаций,,Менеджер по внешним коммуникациям,нет,"0 г., 11 мес.,10 дн.",Мужской,28,1000,,4.0,1800.0
545,SU199567,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Сервис-менеджер,нет,"0 г., 2 мес.,12 дн.",Женский,26,690,-54.0,20.0,0.0
546,SU48299,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"12 г., 10 мес.,6 дн.",Мужской,35,1320,73.0,5.0,8860.0
547,SU196281,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"1 г., 8 мес.,10 дн.",Мужской,23,925,67.0,8.0,2535.0
548,SU199348,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Младший системный аналитик,нет,"0 г., 3 мес.,9 дн.",Женский,24,850,130.0,11.0,100.0
549,SU175902,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Инженер-разработчик,нет,"2 г., 9 мес.,12 дн.",Мужской,22,845,-21.0,15.0,2905.0
550,SU3274,Департамент по работе с персоналом,,HR-партнеры,HR-партнер,нет,"3 г., 3 мес.,3 дн.",Женский,45,450,161.0,3.0,0.0
551,SU90939,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Ведущий инженер,нет,"7 г., 8 мес.,19 дн.",Женский,32,3280,-49.0,61.0,13250.0
552,SU198195,Департамент бизнес-приложений,,группа консультантов по финансам,Младший консультант по внедрению бизнес-приложений,нет,"0 г., 8 мес.,20 дн.",Женский,25,400,-47.0,4.0,0.0
553,SU35184,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Финансовый аналитик,нет,"15 г., 0 мес.,6 дн.",Женский,39,1100,,2.0,900.0
554,SU192638,Департамент бизнес-приложений,группа технических менеджеров по BigData,,Младший технический менеджер,нет,"2 г., 0 мес.,18 дн.",Мужской,26,1750,-48.0,24.0,4325.0
555,SU196489,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Сервис-менеджер,нет,"1 г., 6 мес.,15 дн.",Женский,29,4770,-54.0,37.0,2555.0
556,SU2685,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"23 г., 0 мес.,24 дн.",Мужской,47,200,280.0,1.0,0.0
557,SU180163,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"2 г., 7 мес.,23 дн.",Мужской,25,560,-46.0,8.0,5165.0
558,SU100838,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Инженер,нет,"6 г., 5 мес.,18 дн.",Мужской,27,800,9.0,25.0,10975.0
559,SU198366,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Инженер-разработчик,нет,"0 г., 7 мес.,20 дн.",Мужской,21,825,-48.0,16.0,0.0
560,SU122869,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер,нет,"5 г., 3 мес.,3 дн.",Мужской,26,1610,-53.0,44.0,4270.0
561,SU200016,Департамент внутренней автоматизации,,центральная служба технической поддержки,Стажер,нет,"0 г., 0 мес.,2 дн.",Мужской,21,0,,0.0,0.0
